"id";"steam_image_api";"appid";"game_name";"release_date";"developer";"publisher";"price";"uploaded_game_image"
1734;"https://cdn.akamai.steamstatic.com/steam/apps/236790/header.jpg?t=1641974531";236790;"Agricultural Simulator 2013 - Steam Edition";"2013-06-07";"Actalogic";"United Independent Entertainment GmbH";6.99;"/placeholder.png"
1735;"https://cdn.akamai.steamstatic.com/steam/apps/236850/header.jpg?t=1675249762";236850;"Europa Universalis IV";"2013-08-13";"Paradox Development Studio";"Paradox Interactive";34.99;"/placeholder.png"
1736;"https://cdn.akamai.steamstatic.com/steam/apps/236930/header.jpg?t=1666990458";236930;"Blackwell Epiphany";"2014-04-24";"Wadjet Eye Games";"Wadjet Eye Games";6.99;"/placeholder.png"
1737;"https://cdn.akamai.steamstatic.com/steam/apps/236970/header.jpg?t=1659943337";236970;"Jack Keane 2 - The Fire Within";"2013-06-28";"Deck 13";"astragon Entertainment";7.19;"/placeholder.png"
1738;"https://cdn.akamai.steamstatic.com/steam/apps/237310/header.jpg?t=1675279563";237310;"Elsword";"2014-07-02";"KOG";"KOG Games";0.0;"/placeholder.png"
1739;"https://cdn.akamai.steamstatic.com/steam/apps/237350/header.jpg?t=1465901348";237350;"Frozen Cortex";"2015-02-19";"Mode 7";"Mode 7";18.99;"/placeholder.png"
1740;"https://cdn.akamai.steamstatic.com/steam/apps/237430/header.jpg?t=1660136640";237430;"Expeditions: Conquistador";"2013-05-30";"Logic Artists";"THQ Nordic";17.99;"/placeholder.png"
1741;"https://cdn.akamai.steamstatic.com/steam/apps/237470/header.jpg?t=1660136086";237470;"Battle Worlds: Kronos";"2013-11-04";"KING Art";"KING Art;THQ Nordic";14.99;"/placeholder.png"
1742;"https://cdn.akamai.steamstatic.com/steam/apps/237550/header.jpg?t=1641988023";237550;"Realms of Arkania: Blade of Destiny";"2013-07-29";"Crafty Studios";"United Independent Entertainment GmbH";10.99;"/placeholder.png"
1743;"https://cdn.akamai.steamstatic.com/steam/apps/237570/header.jpg?t=1447357803";237570;"Penny Arcade's On the Rain-Slick Precipice of Darkness 4";"2013-06-07";"Zeboyd Games";"Penny Arcade, Inc.";1.69;"/placeholder.png"
1744;"https://cdn.akamai.steamstatic.com/steam/apps/237630/header.jpg?t=1644283065";237630;"DuckTales: Remastered";"2013-08-13";"WayForward";"Capcom";11.99;"/placeholder.png"
1745;"https://cdn.akamai.steamstatic.com/steam/apps/237740/header.jpg?t=1671647442";237740;"Angry Video Game Nerd Adventures";"2013-09-20";"FreakZone Games";"Screenwave Media";3.99;"/placeholder.png"
1746;"https://cdn.akamai.steamstatic.com/steam/apps/237760/header.jpg?t=1447357812";237760;"Intake";"2013-11-06";"Cipher Prime Studios";"Cipher Prime Studios";6.99;"/placeholder.png"
1747;"https://cdn.akamai.steamstatic.com/steam/apps/237850/header.jpg?t=1655882798";237850;"Dreamfall Chapters";"2017-07-21";"Red Thread Games";"Red Thread Games";18.99;"/placeholder.png"
1748;"https://cdn.akamai.steamstatic.com/steam/apps/237870/header.jpg?t=1596510667";237870;"Planet Explorers";"2016-11-08";"Pathea Games";"Pathea Games";7.19;"/placeholder.png"
1749;"https://cdn.akamai.steamstatic.com/steam/apps/237890/header.jpg?t=1572353455";237890;"Agarest: Generations of War";"2014-02-04";"Idea Factory";"Ghostlight LTD";10.99;"/placeholder.png"
1750;"https://cdn.akamai.steamstatic.com/steam/apps/237930/header.jpg?t=1601337924";237930;"Transistor";"2014-05-20";"Supergiant Games";"Supergiant Games";15.49;"/placeholder.png"
1751;"https://cdn.akamai.steamstatic.com/steam/apps/237950/header.jpg?t=1521643581";237950;"UFO: Afterlight";"2014-01-06";"Altar Games";"Bohemia Interactive";4.99;"/placeholder.png"
1752;"https://cdn.akamai.steamstatic.com/steam/apps/237970/header.jpg?t=1582123284";237970;"Memento Mori 2";"2014-05-13";"Centauri Production";"Bohemia Interactive";16.99;"/placeholder.png"
1753;"https://cdn.akamai.steamstatic.com/steam/apps/237990/header.jpg?t=1650912084";237990;"The Banner Saga";"2014-01-14";"Stoic";"Versus Evil";18.74;"/placeholder.png"
1754;"https://cdn.akamai.steamstatic.com/steam/apps/238010/header.jpg?t=1675707890";238010;"Deus Ex: Human Revolution - Director's Cut";"2013-10-25";"Eidos Montreal;Feral Interactive (Mac)";"Square Enix;Feral Interactive (Mac)";12.99;"/placeholder.png"
1755;"https://cdn.akamai.steamstatic.com/steam/apps/238050/header.jpg?t=1618626935";238050;"The Apogee Throwback Pack";"2013-07-01";"Interceptor Entertainment";"Apogee Software";6.99;"/placeholder.png"
1756;"https://cdn.akamai.steamstatic.com/steam/apps/238090/header.jpg?t=1601483606";238090;"Sniper Elite 3";"2014-06-27";"Rebellion";"Rebellion";22.99;"/placeholder.png"
1757;"https://cdn.akamai.steamstatic.com/steam/apps/238210/header.jpg?t=1645843384";238210;"System Shock 2";"2013-05-10";"Irrational Games;Looking Glass Studios";"Nightdive Studios";6.99;"/placeholder.png"
1758;"https://cdn.akamai.steamstatic.com/steam/apps/238240/header.jpg?t=1667241258";238240;"Edge of Space";"2015-09-17";"Handyman Studios";"Reverb Triple XP";10.99;"/placeholder.png"
1759;"https://cdn.akamai.steamstatic.com/steam/apps/238260/header.jpg?t=1572624312";238260;"Pinball Arcade";"2013-11-04";"FarSight Studios";"FarSight Studios";0.0;"/placeholder.png"
1760;"https://cdn.akamai.steamstatic.com/steam/apps/238320/header.jpg?t=1666817106";238320;"Outlast";"2013-09-04";"Red Barrels";"Red Barrels";15.49;"/placeholder.png"
1761;"https://cdn.akamai.steamstatic.com/steam/apps/238370/header.jpg?t=1615973723";238370;"Magicka 2";"2015-05-26";"Pieces Interactive";"Paradox Interactive";10.99;"/placeholder.png"
1762;"https://cdn.akamai.steamstatic.com/steam/apps/238430/header.jpg?t=1663280093";238430;"Contagion";"2013-10-25";"Monochrome, Inc";"Monochrome, Inc";6.99;"/placeholder.png"
1763;"https://cdn.akamai.steamstatic.com/steam/apps/238460/header.jpg?t=1671827860";238460;"BattleBlock Theater®";"2014-05-15";"The Behemoth";"The Behemoth";10.99;"/placeholder.png"
1764;"https://cdn.akamai.steamstatic.com/steam/apps/238530/header.jpg?t=1575386479";238530;"Super Puzzle Platformer Deluxe";"2013-05-24";"Andrew Morrish";"Adult Swim Games";5.59;"/placeholder.png"
1765;"https://cdn.akamai.steamstatic.com/steam/apps/238630/header.jpg?t=1483421958";238630;"Fist Puncher";"2013-06-21";"Team2Bit";"Adult Swim Games";6.99;"/placeholder.png"
1766;"https://cdn.akamai.steamstatic.com/steam/apps/238750/header.jpg?t=1634745501";238750;"Might & Magic X - Legacy";"2014-01-23";"Ubisoft";"Ubisoft";20.99;"/placeholder.png"
1767;"https://cdn.akamai.steamstatic.com/steam/apps/238870/header.jpg?t=1669384438";238870;"Citadels";"2013-07-25";"Games Distillery s.r.o.";"HandyGames";10.99;"/placeholder.png"
1768;"https://cdn.akamai.steamstatic.com/steam/apps/238890/header.jpg?t=1591802072";238890;"Skyward Collapse";"2013-05-23";"Arcen Games, LLC";"Arcen Games, LLC";3.99;"/placeholder.png"
1769;"https://cdn.akamai.steamstatic.com/steam/apps/238910/header.jpg?t=1641757897";238910;"Bionic Dues";"2013-10-08";"Arcen Games, LLC";"Arcen Games, LLC";6.99;"/placeholder.png"
1770;"https://cdn.akamai.steamstatic.com/steam/apps/238930/header.jpg?t=1447357877";238930;"7 Grand Steps: What Ancients Begat";"2013-06-07";"Mousechief";"Mousechief";14.99;"/placeholder.png"
1771;"https://cdn.akamai.steamstatic.com/steam/apps/238960/header.jpg?t=1675895226";238960;"Path of Exile";"2013-10-23";"Grinding Gear Games";"Grinding Gear Games";0.0;"/placeholder.png"
1772;"https://cdn.akamai.steamstatic.com/steam/apps/239030/header.jpg?t=1646889353";239030;"Papers, Please";"2013-08-08";"Lucas Pope";"3909";6.99;"/placeholder.png"
1773;"https://cdn.akamai.steamstatic.com/steam/apps/239070/header.jpg?t=1575209264";239070;"Hammerwatch";"2013-08-12";"Crackshell";"Crackshell";6.99;"/placeholder.png"
1774;"https://cdn.akamai.steamstatic.com/steam/apps/239090/header.jpg?t=1635397410";239090;"Samurai Gunn";"2013-12-10";"Teknopants";"Maxistentialism";11.99;"/placeholder.png"
1775;"https://cdn.akamai.steamstatic.com/steam/apps/239120/header.jpg?t=1624982475";239120;"FINAL FANTASY III";"2014-05-27";"Square Enix";"Square Enix";10.99;"/placeholder.png"
1776;"https://cdn.akamai.steamstatic.com/steam/apps/239140/header.jpg?t=1674129492";239140;"Dying Light";"2015-01-26";"Techland";"Techland Publishing";24.99;"/placeholder.png"
1777;"https://cdn.akamai.steamstatic.com/steam/apps/239160/header.jpg?t=1675707943";239160;"Thief";"2014-02-27";"Eidos-Montréal;Feral Interactive (Mac)";"Square Enix;Feral Interactive (Mac)";19.99;"/placeholder.png"
